get(config$variables$sample_id),M2 macrophage (CD163) Cells,CD8 T cell Cells,Tumor Cells,Vasa recta endothelium Cells,Fibroblast Cells,Myofibroblast Cells,Regulatory T cell Cells,Neutrophil Cells,Proximal tubule Cells,NK cell Cells,gdT cell Cells,M1 Macrophage (STAT1) Cells,Naive T cell Cells,Podocyte Cells,Collecting duct cell Cells,Possibly Mid-Rep (Misc. Cells) Cells,Plasmacytoid dendritic cell Cells,B cell Cells,Non-classical monocyte Cells,Myeloid DC Cells,Naive CD4 T cell Cells,Mast cell Cells,Intermediate monocyte Cells,Pelvic epithelium Cells,Epithelial progenitor cell Cells,Principal cell Cells,Naive B cell Cells,Capillary endothelium Cells,Intercalated Cell Cells,Glomerular endothelium Cells,Classical monocyte Cells,% M2 macrophage (CD163) Cells,% CD8 T cell Cells,% Tumor Cells,% Vasa recta endothelium Cells,% Fibroblast Cells,% Myofibroblast Cells,% Regulatory T cell Cells,% Neutrophil Cells,% Proximal tubule Cells,% NK cell Cells,% gdT cell Cells,% M1 Macrophage (STAT1) Cells,% Naive T cell Cells,% Podocyte Cells,% Collecting duct cell Cells,% Possibly Mid-Rep (Misc. Cells) Cells,% Plasmacytoid dendritic cell Cells,% B cell Cells,% Naive B cell Cells,% Non-classical monocyte Cells,% Myeloid DC Cells,% Naive CD4 T cell Cells,% Mast cell Cells,% Intermediate monocyte Cells,% Pelvic epithelium Cells,% Epithelial progenitor cell Cells,% Principal cell Cells,% Capillary endothelium Cells,% Intercalated Cell Cells,% Glomerular endothelium Cells,% Classical monocyte Cells,Total Cells
RCC3_22,232,117,228,588,565,272,196,54,1100,25,15,7,120,122,200,1,161,80,31,90,20,33,0,74,364,131,35,21,165,119,1,4.49003290110316,2.26437004064254,4.41261854073931,11.3799109734856,10.9347784013935,5.26417650474163,3.79330365782853,1.04509386491194,21.2889491000581,0.483839752274047,0.290303851364428,0.135475130636733,2.32243081091543,2.36113799109735,3.87071801819238,0.0193535900909619,3.11592800464486,1.54828720727695,0.677375653183666,0.599961292819818,1.74182310818657,0.387071801819237,0.638668473001742,0,1.43216566673118,7.04470679311012,2.53532030191601,0.406425391910199,3.19334236500871,2.30307722082446,0.0193535900909619,5167
RCC3_3,298,875,1753,139,1,75,330,47,38,32,82,131,64,11,99,17,24,72,6,54,23,4,173,12,195,1,20,15,1,0,0,6.48954703832753,19.0548780487805,38.1750871080139,3.02700348432056,0.0217770034843206,1.63327526132404,7.18641114982578,1.02351916376307,0.827526132404181,0.696864111498258,1.78571428571429,2.85278745644599,1.39372822299652,0.239547038327526,2.15592334494774,0.37020905923345,0.522648083623693,1.56794425087108,0.435540069686411,0.130662020905923,1.17595818815331,0.500871080139373,0.0871080139372822,3.76742160278746,0.261324041811847,4.24651567944251,0.0217770034843206,0.326655052264808,0.0217770034843206,0,0,4592
RCC3_4,30,32,89,183,57,20,178,55,44,32,28,3,20,17,98,0,126,9,137,15,9,19,2,0,19,18,5,17,20,10,0,2.32198142414861,2.47678018575851,6.88854489164087,14.1640866873065,4.41176470588235,1.54798761609907,13.7770897832817,4.25696594427245,3.40557275541796,2.47678018575851,2.1671826625387,0.232198142414861,1.54798761609907,1.31578947368421,7.58513931888545,0,9.75232198142415,0.696594427244582,0.386996904024768,10.6037151702786,1.1609907120743,0.696594427244582,1.47058823529412,0.154798761609907,0,1.47058823529412,1.39318885448916,1.31578947368421,1.54798761609907,0.773993808049536,0,1292
RCC3_5,225,24,2955,263,22,1190,39,67,85,30,5,10,13,29,32,1,4,0,6,35,3,10,6,0,14,4,0,661,1,1,0,3.9232781168265,0.41848299912816,51.5257192676548,4.58587619877943,0.38360941586748,20.7497820401046,0.680034873583261,1.16826503923278,1.4821272885789,0.523103748910201,0.0871839581517001,0.1743679163034,0.22667829119442,0.505666957279861,0.557977332170881,0.01743679163034,0.0697471665213601,0,0,0.10462074978204,0.610287707061901,0.0523103748910201,0.1743679163034,0.10462074978204,0,0.24411508282476,0.0697471665213601,11.5257192676548,0.01743679163034,0.01743679163034,0,5735
RCC3_6,197,29,72,99,527,348,38,8,14,13,3,1,47,1,28,0,13,9,10,13,7,7,2,0,1,2,7,9,3,0,0,13.0636604774536,1.92307692307692,4.77453580901857,6.56498673740053,34.946949602122,23.0769230769231,2.51989389920424,0.530503978779841,0.928381962864721,0.862068965517241,0.19893899204244,0.0663129973474801,3.11671087533157,0.0663129973474801,1.85676392572944,0,0.862068965517241,0.596816976127321,0.464190981432361,0.663129973474801,0.862068965517241,0.464190981432361,0.464190981432361,0.13262599469496,0,0.0663129973474801,0.13262599469496,0.596816976127321,0.19893899204244,0,0,1508
RCC3_7,164,13,1398,71,76,181,28,33,10,33,3,6,30,0,5,1,3,42,0,10,2,7,3,0,0,0,1,67,0,0,0,7.49885688157293,0.594421582075903,63.923182441701,3.24645633287609,3.4750800182899,8.27617741197988,1.28029263831733,1.50891632373114,0.457247370827618,1.50891632373114,0.137174211248285,0.274348422496571,1.37174211248285,0,0.228623685413809,0.0457247370827618,0.137174211248285,1.92043895747599,0.0457247370827618,0,0.457247370827618,0.0914494741655235,0.320073159579332,0.137174211248285,0,0,0,3.06355738454504,0,0,0,2187
RCC3_8,346,28,622,149,285,283,62,39,25,23,2,10,51,0,39,2,16,34,9,49,3,11,5,0,2,0,7,19,0,0,2,16.2976919453603,1.31888836552049,29.2981629769195,7.01837023080546,13.4243994347621,13.3301931229392,2.92039566650966,1.8370230805464,1.17757889778615,1.08337258596326,0.0942063118228921,0.471031559114461,2.40226095148375,0,1.8370230805464,0.0942063118228921,0.753650494583137,1.60150730098917,0.329722091380122,0.423928403203015,2.30805463966086,0.141309467734338,0.518134715025907,0.23551577955723,0,0.0942063118228921,0,0.894959962317475,0,0,0.0942063118228921,2123
RCC3_9,30,71,2112,159,50,115,75,14,423,30,18,4,3,63,108,4,21,7,25,32,5,11,1,17,291,7,7,5,29,1,0,0.802568218298555,1.89941144997325,56.5008025682183,4.25361155698234,1.33761369716426,3.0765115034778,2.00642054574639,0.374531835205993,11.3162118780096,0.802568218298555,0.481540930979133,0.107009095773141,0.0802568218298555,1.68539325842697,2.8892455858748,0.107009095773141,0.561797752808989,0.187265917602996,0.187265917602996,0.66880684858213,0.856072766185126,0.133761369716426,0.294275013376137,0.0267522739432852,0.454788657035848,7.78491171749599,0.187265917602996,0.133761369716426,0.77581594435527,0.0267522739432852,0,3738
RCC4_1,183,10,1711,50,15,271,52,30,4,19,1,25,4,0,4,2,1,0,1,10,0,0,5,0,0,0,0,73,0,0,0,7.40590853905302,0.404694455685957,69.2432213678673,2.02347227842979,0.607041683528936,10.9672197490894,2.10441116956698,1.21408336705787,0.161877782274383,0.768919465803319,0.0404694455685957,1.01173613921489,0.161877782274383,0,0.161877782274383,0.0809388911371914,0.0404694455685957,0,0,0.0404694455685957,0.404694455685957,0,0,0.202347227842979,0,0,0,2.95426952650749,0,0,0,2471
RCC4_10,82,13,227,287,588,43,73,25,366,7,9,3,15,15,203,0,140,207,26,28,9,84,4,5,302,44,7,21,42,7,0,2.84524635669674,0.451075641915337,7.8764746703678,9.95836224843858,20.4024982650937,1.49201943095073,2.53296321998612,0.867453157529493,12.6995142262318,0.242886884108258,0.312283136710618,0.104094378903539,0.520471894517696,0.520471894517696,7.04371963913949,0,4.85773768216516,7.18251214434421,0.242886884108258,0.902151283830673,0.971547536433033,0.312283136710618,2.9146426092991,0.138792505204719,0.173490631505899,10.4788341429563,1.52671755725191,0.728660652324775,1.45732130464955,0.242886884108258,0,2882
RCC4_11,12,7,2957,157,119,195,32,16,0,11,0,1,1,40,40,0,27,3,3,5,2,17,0,0,60,74,1,26,32,6,0,0.312174817898023,0.18210197710718,76.9250780437045,4.08428720083247,3.09573361082206,5.07284079084287,0.832466181061395,0.416233090530697,0,0.286160249739854,0,0.0260145681581686,0.0260145681581686,1.04058272632674,1.04058272632674,0,0.702393340270552,0.0780437044745057,0.0260145681581686,0.0780437044745057,0.130072840790843,0.0520291363163372,0.442247658688866,0,0,1.56087408949011,1.92507804370447,0.676378772112383,0.832466181061395,0.156087408949011,0,3844
RCC4_12,2,3,2325,103,441,97,13,7,0,4,1,2,2,11,28,0,24,3,1,2,4,26,0,0,28,80,2,15,43,1,0,0.0611995104039168,0.0917992656058752,71.1444308445532,3.15177478580171,13.4944920440636,2.96817625458996,0.397796817625459,0.214198286413709,0,0.122399020807834,0.0305997552019584,0.0611995104039168,0.0611995104039168,0.336597307221542,0.856793145654835,0,0.734394124847001,0.0917992656058752,0.0611995104039168,0.0305997552019584,0.0611995104039168,0.122399020807834,0.795593635250918,0,0,0.856793145654835,2.44798041615667,0.458996328029376,1.31578947368421,0.0305997552019584,0,3268
RCC4_13,151,21,1409,91,99,102,31,17,17,31,4,4,32,1,9,0,1,2,1,24,3,1,9,0,5,0,4,31,0,0,0,7.19047619047619,1,67.0952380952381,4.33333333333333,4.71428571428571,4.85714285714286,1.47619047619048,0.80952380952381,0.80952380952381,1.47619047619048,0.19047619047619,0.19047619047619,1.52380952380952,0.0476190476190476,0.428571428571429,0,0.0476190476190476,0.0952380952380952,0.19047619047619,0.0476190476190476,1.14285714285714,0.142857142857143,0.0476190476190476,0.428571428571429,0,0.238095238095238,0,1.47619047619048,0,0,0,2100
RCC4_14,238,18,1616,81,70,171,46,33,6,60,9,8,58,1,6,2,2,2,1,37,0,2,2,0,3,0,0,18,0,0,0,9.55823293172691,0.72289156626506,64.8995983935743,3.25301204819277,2.81124497991968,6.86746987951807,1.84738955823293,1.32530120481928,0.240963855421687,2.40963855421687,0.36144578313253,0.321285140562249,2.32931726907631,0.0401606425702811,0.240963855421687,0.0803212851405623,0.0803212851405623,0.0803212851405623,0,0.0401606425702811,1.4859437751004,0,0.0803212851405623,0.0803212851405623,0,0.120481927710843,0,0.72289156626506,0,0,0,2490
RCC4_15,11,3,524,291,967,83,43,22,676,3,5,3,3,19,56,0,72,8,14,11,1,16,2,4,304,39,6,37,36,5,0,0.337009803921569,0.0919117647058823,16.0539215686275,8.91544117647059,29.6262254901961,2.54289215686275,1.31740196078431,0.674019607843137,20.7107843137255,0.0919117647058823,0.153186274509804,0.0919117647058823,0.0919117647058823,0.582107843137255,1.7156862745098,0,2.20588235294118,0.245098039215686,0.183823529411765,0.428921568627451,0.337009803921569,0.0306372549019608,0.490196078431373,0.0612745098039216,0.122549019607843,9.31372549019608,1.19485294117647,1.13357843137255,1.10294117647059,0.153186274509804,0,3264
RCC4_16,6,10,40,86,504,13,93,69,300,12,9,1,4,12,59,0,90,7,9,6,5,30,1,1,28,41,11,9,34,12,0,0.399467376830892,0.66577896138482,2.66311584553928,5.72569906790945,33.5552596537949,0.865512649800266,6.19174434087883,4.59387483355526,19.9733688415446,0.798934753661784,0.599201065246338,0.066577896138482,0.266311584553928,0.798934753661784,3.92809587217044,0,5.99201065246338,0.466045272969374,0.732356857523302,0.599201065246338,0.399467376830892,0.33288948069241,1.99733688415446,0.066577896138482,0.066577896138482,1.8641810918775,2.72969374167776,0.599201065246338,2.26364846870839,0.798934753661784,0,1502
RCC4_17,692,31,37,46,85,17,35,31,14,7,6,7,18,2,24,0,8,1,0,15,2,2,0,0,40,0,1,10,3,3,0,60.8619173262973,2.72647317502199,3.25417766051011,4.0457343887423,7.47581354441513,1.49516270888303,3.07827616534741,2.72647317502199,1.23131046613896,0.615655233069481,0.527704485488127,0.615655233069481,1.58311345646438,0.175901495162709,2.11081794195251,0,0.703605980650836,0.0879507475813544,0.0879507475813544,0,1.31926121372032,0.175901495162709,0.175901495162709,0,0,3.51802990325418,0,0.879507475813545,0.263852242744063,0.263852242744063,0,1137
RCC4_18,1101,117,103,78,151,36,222,53,0,13,13,28,50,0,32,1,41,505,6,25,5,1,7,1,2,0,11,6,0,0,0,42.2162576687117,4.48619631901841,3.94938650306748,2.99079754601227,5.7898773006135,1.38036809815951,8.51226993865031,2.03220858895706,0,0.498466257668712,0.498466257668712,1.07361963190184,1.91717791411043,0,1.22699386503067,0.0383435582822086,1.57208588957055,19.3634969325153,0.421779141104294,0.230061349693252,0.958588957055215,0.191717791411043,0.0383435582822086,0.26840490797546,0.0383435582822086,0.0766871165644172,0,0.230061349693252,0,0,0,2608
RCC4_2,493,258,278,156,167,160,318,128,1,57,42,387,63,1,47,113,42,40,2,79,12,1,117,0,1,1,28,7,0,0,0,16.4388129376459,8.60286762254085,9.26975658552851,5.20173391130377,5.56852284094698,5.3351117039013,10.6035345115038,4.26808936312104,0.0333444481493831,1.90063354451484,1.40046682227409,12.9043014338113,2.10070023341114,0.0333444481493831,1.56718906302101,3.76792264088029,1.40046682227409,1.33377792597533,0.933644548182728,0.0666888962987663,2.63421140380127,0.400133377792598,0.0333444481493831,3.90130043347783,0,0.0333444481493831,0.0333444481493831,0.233411137045682,0,0,0,2999
RCC4_21,43,23,2524,45,71,6,67,116,27,10,5,53,1,9,54,1,23,36,15,14,1,9,16,2,25,11,1,67,18,1,0,1.30540376442016,0.698239222829387,76.6241651487553,1.36612021857924,2.15543412264724,0.182149362477231,2.03400121432908,3.52155434122647,0.819672131147541,0.303582270795386,0.151791135397693,1.60898603521554,0.0303582270795386,0.273224043715847,1.63934426229508,0.0303582270795386,0.698239222829387,1.09289617486339,0.0303582270795386,0.455373406193078,0.42501517911354,0.0303582270795386,0.273224043715847,0.485731633272617,0.0607164541590771,0.758955676988464,0.333940497874924,2.03400121432908,0.546448087431694,0.0303582270795386,0,3294
RCC4_22,240,13,1373,283,122,323,44,40,7,11,6,26,19,0,16,1,2,10,0,21,0,0,47,1,3,0,6,134,0,0,0,8.73362445414847,0.473071324599709,49.9636098981077,10.2983988355167,4.43959243085881,11.7540029112082,1.60116448326055,1.45560407569141,0.254730713245997,0.400291120815138,0.218340611353712,0.946142649199418,0.691411935953421,0,0.582241630276565,0.0363901018922853,0.0727802037845706,0.363901018922853,0.218340611353712,0,0.764192139737991,0,0,1.71033478893741,0.0363901018922853,0.109170305676856,0,4.87627365356623,0,0,0,2748
RCC4_3,80,314,1609,79,6,278,152,22,2,22,24,272,56,0,16,41,5,1,1,9,4,1,167,0,2,1,11,52,0,0,0,2.47908273938643,9.73039975209173,49.8605515959095,2.4480942051441,0.185931205453982,8.61481251936784,4.71025720483421,0.681747753331267,0.0619770684846607,0.681747753331267,0.743724821815928,8.42888131391385,1.7353579175705,0,0.495816547877285,1.27052990393554,0.154942671211652,0.0309885342423303,0.340873876665634,0.0309885342423303,0.278896808180973,0.123954136969321,0.0309885342423303,5.17508521846917,0,0.0619770684846607,0.0309885342423303,1.61140378060118,0,0,0,3227
RCC4_4,250,290,92,232,345,152,256,88,28,35,10,64,381,0,64,6,22,42,4,44,33,13,22,0,49,3,132,2,1,4,1,9.38086303939962,10.8818011257036,3.45215759849906,8.70544090056285,12.9455909943715,5.70356472795497,9.60600375234522,3.30206378986867,1.05065666041276,1.31332082551595,0.375234521575985,2.4015009380863,14.296435272045,0,2.4015009380863,0.225140712945591,0.825515947467167,1.57598499061914,4.953095684803,0.150093808630394,1.65103189493433,1.23827392120075,0.487804878048781,0.825515947467167,0,1.83864915572233,0.112570356472796,0.075046904315197,0.0375234521575985,0.150093808630394,0.0375234521575985,2665
RCC4_5,42,148,2108,114,143,27,181,139,1,21,22,310,23,0,43,9,41,207,2,41,5,5,201,5,4,0,17,201,0,0,0,1.03448275862069,3.64532019704434,51.9211822660099,2.80788177339901,3.52216748768473,0.665024630541872,4.45812807881773,3.42364532019704,0.0246305418719212,0.517241379310345,0.541871921182266,7.63546798029557,0.566502463054187,0,1.05911330049261,0.221674876847291,1.00985221674877,5.09852216748769,0.41871921182266,0.0492610837438424,1.00985221674877,0.123152709359606,0.123152709359606,4.95073891625616,0.123152709359606,0.0985221674876847,0,4.95073891625616,0,0,0,4060
RCC4_6,32,127,189,246,321,211,276,271,0,22,5,36,176,0,61,9,852,900,1,84,41,5,10,0,1,0,1041,11,2,0,0,0.649087221095335,2.57606490872211,3.83367139959432,4.98985801217039,6.51115618661258,4.27991886409736,5.59837728194726,5.49695740365112,0,0.446247464503043,0.101419878296146,0.730223123732252,3.56997971602434,0,1.23732251521298,0.182555780933063,17.2819472616633,18.2555780933063,21.1156186612576,0.0202839756592292,1.70385395537525,0.831643002028398,0.101419878296146,0.202839756592292,0,0.0202839756592292,0,0.223123732251521,0.0405679513184584,0,0,4930
RCC4_7,274,61,1369,424,153,369,121,65,5,23,7,45,67,1,64,4,17,31,5,61,11,6,95,0,3,0,24,120,0,1,0,7.99766491535318,1.78050204319907,39.9591360186807,12.3759486281378,4.46584938704028,10.7705779334501,3.5318155283129,1.89725627553999,0.145942790426153,0.671336835960304,0.204319906596614,1.31348511383538,1.95563339171045,0.0291885580852306,1.86806771745476,0.116754232340922,0.49620548744892,0.904845300642148,0.700525394045534,0.145942790426153,1.78050204319907,0.321074138937537,0.175131348511384,2.77291301809691,0,0.0875656742556918,0,3.50262697022767,0,0.0291885580852306,0,3426
RCC4_8,735,385,669,604,446,567,626,135,2,63,27,142,225,0,172,5,161,562,6,87,35,31,147,0,2,0,200,54,0,0,2,12.0689655172414,6.32183908045977,10.9852216748768,9.91789819376026,7.32348111658457,9.31034482758621,10.2791461412151,2.21674876847291,0.0328407224958949,1.03448275862069,0.443349753694581,2.33169129720854,3.69458128078818,0,2.82430213464696,0.0821018062397373,2.64367816091954,9.22824302134647,3.28407224958949,0.0985221674876847,1.42857142857143,0.574712643678161,0.509031198686371,2.41379310344828,0,0.0328407224958949,0,0.886699507389163,0,0,0.0328407224958949,6090
RCC4_9,147,12,502,442,1033,288,73,17,78,7,5,1,7,39,170,0,56,112,41,51,6,49,12,2,97,9,4,43,3,1,0,4.44511641971575,0.362866646507409,15.1799213788933,13.3655881463562,31.2367704868461,8.70879951617781,2.2074387662534,0.514061082552162,2.35863320229816,0.211672210462655,0.151194436044754,0.0302388872089507,0.211672210462655,1.17931660114908,5.14061082552162,0,1.69337768370124,3.38675536740248,0.120955548835803,1.23979437556698,1.54218324765649,0.181433323253704,1.48170547323858,0.362866646507409,0.0604777744179014,2.93317205926822,0.272149984880556,1.30027214998488,0.0907166616268521,0.0302388872089507,0,3307
RCC5_1,218,15,2519,161,181,426,56,42,9,14,4,12,17,0,16,1,24,459,1,19,3,2,3,0,6,1,14,121,0,0,0,5.01841620626151,0.345303867403315,57.98802946593,3.70626151012891,4.16666666666667,9.80662983425414,1.28913443830571,0.966850828729282,0.207182320441989,0.322283609576427,0.0920810313075506,0.276243093922652,0.39134438305709,0,0.368324125230203,0.0230202578268877,0.552486187845304,10.5662983425414,0.322283609576427,0.0230202578268877,0.437384898710866,0.069060773480663,0.0460405156537753,0.069060773480663,0,0.138121546961326,0.0230202578268877,2.78545119705341,0,0,0,4344
RCC5_10,551,55,669,221,26,251,80,14,569,10,5,13,30,15,69,0,7,30,6,23,5,2,29,2,10,0,9,25,0,0,0,20.2127659574468,2.01760821716801,24.5414526779164,8.10711665443874,0.953778429933969,9.20763022743947,2.93470286133529,0.513573000733676,20.8730741012472,0.366837857666911,0.183418928833456,0.476889214966985,1.10051357300073,0.550256786500367,2.53118121790169,0,0.256786500366838,1.10051357300073,0.33015407190022,0.220102714600147,0.843727072633896,0.183418928833456,0.0733675715333822,1.06382978723404,0.0733675715333822,0.366837857666911,0,0.917094644167278,0,0,0,2726
RCC5_11,192,92,1476,103,1,61,140,40,8,18,38,60,0,36,70,3,0,3,3,45,5,3,80,20,17,0,0,24,0,0,1,7.5620322961796,3.62347380858606,58.1331232768807,4.05671524222135,0.0393855848759354,2.40252067743206,5.51398188263096,1.57542339503742,0.315084679007483,0.708940527766837,1.49665222528555,2.36313509255612,0,1.41788105553367,2.75699094131548,0.118156754627806,0,0.118156754627806,0,0.118156754627806,1.77235131941709,0.196927924379677,0.118156754627806,3.15084679007483,0.787711697518708,0.669554942890902,0,0.94525403702245,0,0,0.0393855848759354,2539
