get(config$variables$sample_id),M2 macrophage (CD163) Cells,CD8 T cell Cells,Tumor Cells,Vasa recta endothelium Cells,Fibroblast Cells,Myofibroblast Cells,Regulatory T cell Cells,Neutrophil Cells,Proximal tubule Cells,NK cell Cells,gdT cell Cells,M1 Macrophage (STAT1) Cells,Naive T cell Cells,Podocyte Cells,Collecting duct cell Cells,Possibly Mid-Rep (Misc. Cells) Cells,Plasmacytoid dendritic cell Cells,B cell Cells,Non-classical monocyte Cells,Myeloid DC Cells,Naive CD4 T cell Cells,Mast cell Cells,Intermediate monocyte Cells,Pelvic epithelium Cells,Epithelial progenitor cell Cells,Principal cell Cells,Naive B cell Cells,Capillary endothelium Cells,Intercalated Cell Cells,Glomerular endothelium Cells,Classical monocyte Cells,% M2 macrophage (CD163) Cells,% CD8 T cell Cells,% Tumor Cells,% Vasa recta endothelium Cells,% Fibroblast Cells,% Myofibroblast Cells,% Regulatory T cell Cells,% Neutrophil Cells,% Proximal tubule Cells,% NK cell Cells,% gdT cell Cells,% M1 Macrophage (STAT1) Cells,% Naive T cell Cells,% Podocyte Cells,% Collecting duct cell Cells,% Possibly Mid-Rep (Misc. Cells) Cells,% Plasmacytoid dendritic cell Cells,% B cell Cells,% Naive B cell Cells,% Non-classical monocyte Cells,% Myeloid DC Cells,% Naive CD4 T cell Cells,% Mast cell Cells,% Intermediate monocyte Cells,% Pelvic epithelium Cells,% Epithelial progenitor cell Cells,% Principal cell Cells,% Capillary endothelium Cells,% Intercalated Cell Cells,% Glomerular endothelium Cells,% Classical monocyte Cells,Total Cells
RCC3_1,468,735,1385,256,113,135,336,44,9,76,192,45,193,1,88,26,37,24,12,73,41,17,58,0,7,0,35,91,3,1,0,10.397689402355,16.3297045101089,30.7709397911575,5.68762497222839,2.51055321039769,2.99933348144857,7.46500777604977,0.977560542101755,0.199955565429904,1.6885136636303,4.2657187291713,0.999777827149522,4.28793601421906,0.0222172850477672,1.95512108420351,0.577649411241946,0.822039546767385,0.533214841146412,0.777604976671851,0.266607420573206,1.621861808487,0.910908686958454,0.377693845812042,1.2886025327705,0,0.15552099533437,0,2.02177293934681,0.0666518551433015,0.0222172850477672,0,4501
RCC3_10,76,126,167,285,543,241,283,33,289,32,22,11,116,92,148,0,154,185,18,99,70,16,9,9,122,18,98,24,37,109,0,2.21445221445221,3.67132867132867,4.86596736596737,8.30419580419581,15.8216783216783,7.02214452214452,8.24592074592075,0.961538461538461,8.42074592074592,0.932400932400932,0.641025641025641,0.320512820512821,3.37995337995338,2.68065268065268,4.31235431235431,0,4.48717948717949,5.39044289044289,2.85547785547786,0.524475524475525,2.88461538461538,2.03962703962704,0.466200466200466,0.262237762237762,0.262237762237762,3.55477855477855,0.524475524475525,0.699300699300699,1.07808857808858,3.17599067599068,0,3432
RCC3_11,25,16,2326,57,1,278,16,9,6,8,7,43,2,0,6,4,5,82,6,3,0,5,0,0,3,0,2,28,0,0,0,0.850918992511913,0.544588155207624,79.1695030633084,1.94009530292716,0.0340367597004765,9.46221919673247,0.544588155207624,0.306330837304289,0.204220558202859,0.272294077603812,0.238257317903336,1.46358066712049,0.068073519400953,0,0.204220558202859,0.136147038801906,0.170183798502383,2.79101429543907,0.068073519400953,0.204220558202859,0.10211027910143,0,0.170183798502383,0,0,0.10211027910143,0,0.953029271613342,0,0,0,2938
RCC3_12,369,686,576,151,543,333,395,49,2,47,35,72,366,1,112,36,262,457,18,113,36,14,39,1,0,0,334,13,1,1,1,7.28816906972151,13.5492790835473,11.3766541576141,2.98242148923563,10.7248666798341,6.57712818487063,7.80169859766937,0.967805648824807,0.0395022713806044,0.928303377444203,0.691289749160577,1.42208176970176,7.2289156626506,0.0197511356903022,2.21212719731385,0.711040884850879,5.17479755085918,9.0262690104681,6.59687932056093,0.355520442425439,2.23187833300415,0.711040884850879,0.276515899664231,0.770294291921786,0.0197511356903022,0,0,0.256764763973929,0.0197511356903022,0.0197511356903022,0.0197511356903022,5063
RCC3_13,555,655,1879,354,147,246,288,110,5,19,46,45,44,0,139,23,69,235,2,56,10,10,58,3,2,0,35,56,0,0,1,10.8994501178319,12.8633150039277,36.9010212097408,6.95208169677926,2.88688138256088,4.83110761979576,5.65593087195601,2.16025137470542,0.0981932443047918,0.373134328358209,0.903377847604085,0.883739198743127,0.864100549882168,0,2.72977219167321,0.451688923802042,1.35506677140613,4.61508248232522,0.687352710133543,0.0392772977219167,1.09976433621367,0.196386488609584,0.196386488609584,1.13904163393559,0.0589159465828751,0.0392772977219167,0,1.09976433621367,0,0,0.0196386488609584,5092
RCC3_14,284,248,127,140,473,763,99,29,0,14,3,0,29,0,114,6,150,251,4,38,11,4,3,0,1,1,79,0,0,1,0,9.88857938718663,8.63509749303621,4.42200557103064,4.87465181058496,16.4693593314763,26.566852367688,3.44707520891365,1.00974930362117,0,0.487465181058496,0.104456824512535,0,1.00974930362117,0,3.96935933147632,0.20891364902507,5.22284122562674,8.73955431754875,2.75069637883008,0.139275766016713,1.32311977715877,0.383008356545961,0.139275766016713,0.104456824512535,0,0.0348189415041783,0.0348189415041783,0,0,0.0348189415041783,0,2872
RCC3_15,309,191,1913,60,5,5,210,19,7,4,26,56,0,0,48,62,4,59,0,18,1,0,73,324,48,0,4,6,0,0,0,8.9513325608343,5.53302433371958,55.4171494785632,1.73812282734647,0.144843568945539,0.144843568945539,6.08342989571263,0.550405561993047,0.202780996523754,0.115874855156431,0.753186558516802,1.62224797219003,0,0,1.39049826187717,1.79606025492468,0.115874855156431,1.70915411355736,0.115874855156431,0,0.52143684820394,0.0289687137891078,0,2.11471610660487,9.38586326767092,1.39049826187717,0,0.173812282734647,0,0,0,3452
RCC3_16,172,81,167,227,483,125,103,37,17,13,7,0,39,8,52,0,38,306,7,43,16,15,0,0,4,1,16,0,0,0,2,8.69125821121779,4.09297625063163,8.43860535624053,11.4704396159677,24.4062657908034,6.31632137443153,5.20464881253158,1.86963112683173,0.859019706922688,0.656897422940879,0.353713996968166,0,1.97069226882264,0.404244567963618,2.62758969176352,0,1.92016169782719,15.4623547246084,0.808489135927236,0.353713996968166,2.17281455280445,0.808489135927236,0.757958564931784,0,0,0.202122283981809,0.0505305709954523,0,0,0,0.101061141990905,1979
RCC3_2,185,54,203,329,758,185,99,20,777,14,17,3,76,49,93,1,93,36,13,172,12,18,0,0,206,45,46,37,41,22,0,5.13318534961154,1.49833518312986,5.63263041065483,9.12874583795782,21.0321864594895,5.13318534961154,2.74694783573807,0.554938956714761,21.5593784683685,0.388457269700333,0.471698113207547,0.0832408435072142,2.10876803551609,1.35960044395117,2.58046614872364,0.0277469478357381,2.58046614872364,0.998890122086571,1.27635960044395,0.360710321864595,4.77247502774695,0.332963374028857,0.499445061043285,0,0,5.71587125416204,1.24861265260821,1.02663706992231,1.13762486126526,0.610432852386238,0,3604
RCC3_21,218,145,2709,87,15,150,93,50,36,39,58,33,19,2,21,23,8,8,8,32,3,39,47,0,3,0,4,112,2,0,1,5.49810844892812,3.65699873896595,68.3228247162673,2.19419924337957,0.378310214375788,3.78310214375788,2.34552332912989,1.26103404791929,0.907944514501892,0.983606557377049,1.46279949558638,0.832282471626734,0.479192938209332,0.0504413619167718,0.529634300126103,0.580075662042875,0.201765447667087,0.201765447667087,0.100882723833544,0.201765447667087,0.807061790668348,0.0756620428751576,0.983606557377049,1.18537200504414,0,0.0756620428751576,0,2.82471626733922,0.0504413619167718,0,0.0252206809583859,3965
